category,convert_from,convert_to,multiply_by,constant,abbreviation,
Electric Charge,abampere,ampere (A),10.0,0,A,
Electric Charge,abcoulomb,coulomb (C),10.0,0,C,
Capacitance,abfarad,farad (F),1000000000.0,0,F,
Inductance,abhenry,henry (H),1000000000.0,0,H,
Conductance,abmho,siemens (S),1000000000.0,0,S,
Pressure,bar,pascal (Pa),100000.0,0,Pa,
Area,barn,meter^2 (m^2),0.0000000000000000000000000001,0,m^2,
Volume,barrel (for petroleum 42 gal),meter^3 (m^3),0.1589873,0,m^3,
Volume,board foot,meter^3 (m^3),0.002359737,0,m^3,
Energy/Area,Btu (thermochemical)/ft^2,joule per meter^2 (J/m^2),11348.93,0,J/m^2,
Energy/Area/Time,Btu (thermochemical)/ft^2 h,watt per meter^2 (W/m^2),3.152481,0,W/m^2,
Energy/Area/Time,Btu (thermochemical)/ft^2 min,watt per meter^2 (W/m^2),189.1489,0,W/m^2,
Energy/Area/Time,Btu (thermochemical)/ft^2 s,watt per meter^2 (W/m^2),11348.93,0,W/m^2,
Energy/Area/Time,Btu (thermochemical)/in.^2 s,watt per meter^2 (W/m^2),1634246.0,0,W/m^2,
Energy/Area/Time,Btu (International Table)/h ft^2,watt per meter^2-kelvin (W/m^2 K),5.678263,0,W/m^2 K,
Energy/Area/Time,Btu (thermochemical)/h ft^2,watt per meter^2-kelvin (W/m^2 K),5.674466,0,W/m^2 K,
Energy/Area/Time,Btu (International Table)/s ft^2,watt per meter^2-kelvin (W/m^2 K),20441.75,0,W/m^2 K,
Energy/Area/Time,Btu (thermochemical)/ s ft^2,watt per meter^2-kelvin (W/m^2 K),20428.08,0,W/m^2 K,
Energy/Mass,Btu (International Table)/lb,joule per kilogram (J/kg),2326.0,0,J/kg,
Energy/Mass,Btu (thermochemical)/lb,joule per kilogram (J/kg),2324.444,0,J/kg,
Energy/Mass/Temperature,Btu (International Table)/lb 8F,joule per kilogram-kelvin (J/kg K),4186.8,0,J/kg K,
Energy/Mass/Temperature,Btu (thermochemical)/lb 8F,joule per kilogram-kelvin (J/kg K),4184.0,0,J/kg K,
Volume,bushel (U.S.),meter^3 (m^3),0.03523907,0,m^3,
Energy,calorie (kilogram thermochemical),joule (J),4184.0,0,J,
,caliber (inch),meter (m),0.0254,0,m,
Energy,calorie (International Table),joule (J),4.1868,0,J,
Energy,calorie (mean),joule (J),4.19002,0,J,
Energy,calorie (thermochemical),joule (J),4.184,0,J,
Energy,calorie (15∞C),joule (J),4.1858,0,J,
Energy,calorie (20∞C),joule (J),4.1819,0,J,
Energy,calorie (kilogram International Table),joule (J),4186.8,0,J,
Energy,calorie (kilogram mean),joule (J),4190.02,0,J,
Energy/Area,cal (thermochemical),joule (J),4184.0,0,J,
Energy/Area,cal (thermochemical)/cm^2,watt per meter^2 (W/m^2),697.0,0,W/m^2,
Energy/Mass,cal (International Table)/g,joule per kilogram (J/kg),4186.8,0,J/kg,
Energy/Mass,cal (thermochemical)/g,joule per kilogram (J/kg),4184.0,0,J/kg,
Energy/Mass/Temperature,cal (International Table)/g 8C,joule per kilogram-kelvin (J/kg K),4186.8,0,J/kg K,
Energy/Mass/Temperature,cal (thermochemical)/g 8C,joule per kilogram-kelvin (J/kg K),418000000.0,0,J/kg K,
Power,cal (thermochemical)/min,watt (W),0.0697,0,W,
Power,cal (thermochemical)/s,watt (W),4.184,0,W,
Energy/Area/Time,cal (thermochemical)/cm^2 min,watt per meter^2 (W/m^2),697.0,0,W/m^2,
Energy/Area/Time,cal (thermochemical)/cm^2 s,watt per meter^2 (W/m^2),41840.0,0,W/m^2,
Energy/Length/Temperature,cal (thermochemical)/cm s 8C,watt per meter-kelvin (W/m K),418.0,,W/m K,
Mass,carat (metric),kilogram (kg),0.0002,0,kg,
Pressure,centimeter of mercury (0ｰC),pascal (Pa),1333.224,0,Pa,
Pressure,centimeter of water (4ｰC),pascal (Pa),98.06375,0,Pa,
Dynamic Viscosity,centipoise (cP),pascal second (Pa s),0.001,0,Pa s,
Kinematic Viscosity,centistokes (cSt),square meter per second (m^2/s),0.000001,0,m^2/s,
,circular mil,meter2 (m2),0.0000000005067075,0,m2,
,clo,kelvin meter2 per watt (Km2/W),0.2003712,0,km2/w,
,cup,meter3 (m3),0.0002365882,0,,
,curie,becquerel (Bq),37000000000.0,0,,
,day (mean solar),second (s),86400.0,0,,
,day (sidereal),second (s),86164.09,0,,
Angle,degree (angle),radian (rad),0.01745329,0,rad,
Temperature,degree centigrade,kelvin (K),1.0,273.15,K,
Power/Area,erg/(cm^2 s),watt per meter^2 (W/m^2),0.001,0,W/m^2,
Temperature,degree Fahrenheit,degree Celsius (ｰC),0.555555556,-17.78,ｰC,Verify
Power,erg/s,watt (W),0.0000001,0,W,
Temperature,degree Fahrenheit,kelvin (K),0.555555556,255.37,K,Verify
,erg,joule (J),0.0000001,0,J,
Temperature,degree Rankine,kelvin (K),0.555555556,0,K,Verify
Electric Charge,faraday (based on carbon-12),coulomb (C),96487.0,0,C,
Electric Charge,faraday (chemical),coulomb (C),96495.7,0,C,
Electric Charge,faraday (physical),coulomb (C),96521.9,0,C,
Length,fathom,meter (m),1.8288,0,m,
Length,fermi (femtometer),meter (m),0.000000000000001,0,m,
Volume,fluid ounce (U.S.),meter^3 (m^3),0.0000295735,0,m^3,
Length,foot,meter (m),0.3048,0,m,
Length,foot (U.S. survey),meter (m),0.3048006,0,m,
Pressure,foot of water (39.2ｺF),pascal (Pa),2988.98,0,Pa,
Area,ft^2,meter^2 (m^2),0.09290304,0,m^2,
Thermal Diffusivity,ft^2/h (thermal diffusivity),meter^2 per second (m^2/s),0.0000258064,0,m^2/s,
Velocity (Square Units),ft^2/s,meter^2 per second (m^2/s),0.09290304,0,m^2/s,
Volume,ft^3 (volume; section modulus),meter^3 (m^3),0.02831685,0,m^3,
Flow Rate,ft^3/min,meter^3 per second (m^3/s),0.000471947,0,m^3/s,
Flow Rate,ft^3/s,meter^3 per second (m^3/s),0.02831685,0,m^3/s,
Section Modulus,ft^4 (moment of section),meter4 (m^4),0.008630975,0,m^4,
Velocity,ft/h,meter per second (m/s),0.0000846667,0,m/s,
Velocity,ft/min,meter per second (m/s),0.00508,0,m/s,
Velocity,ft/s,meter per second (m/s),0.3048,0,m/s,
Acceleration,ft/s^2,meter per second^2 (m/s^2),0.3048,0,m/s^2,
Illuminance,footcandle,lux (lx),10.76391,0,lx,
Luminance,footlambert,candela per meter^2 (cd/m^2),3.426259,0,cd/m^2,
Energy,ft-lbf,joule (J),1.355818,0,J,
Power,ft-lbf/h,watt (W),0.000376616,0,W,
Power,ft-lbf/min,watt (W),0.02259697,0,W,
Power,ft-lbf/s,watt (W),1.355818,0,W,
Energy,ft-poundal,joule (J),0.04214011,0,J,
Acceleration,free fall standard (g),meter per second^2 (m/s^2),9.80665,0,m/s^2,
Area,hectare,meter^2 (m^2),10000.0,0,m^2,
Power,horsepower (550 ft-lbf/s),watt (W),745.6999,0,W,
Power,horsepower (boiler),watt (W),9809.5,0,W,
Power,horsepower (electric),watt (W),746.0,0,W,
Power,horsepower (metric),watt (W),735.499,0,W,
Power,horsepower (water),watt (W),746.043,0,W,
Power,horsepower (U.K.),watt (W),745.7,0,W,
Time,hour (mean solar),second (s),3600.0,0,s,
Time,hour (sidereal),second (s),3590.17,0,s,
Mass,hundredweight (long),kilogram (kg),50.80235,0,kg,
Mass,hundredweight (short),kilogram (kg),45.35924,0,kg,
Volume,gal,meter per second^2 (m/s^2),0.01,0,m/s^2,
Volume,gallon (Canadian liquid),meter^3 (m^3),0.00454609,0,m^3,
Volume,gallon (U.K. liquid),meter^3 (m^3),0.004546092,0,m^3,
Volume,gallon (U.S. dry),meter^3 (m^3),0.004404884,0,m^3,
Volume,gallon (U.S. liquid),meter^3 (m^3),0.003785412,0,m^3,
Flow Rate,gallon (U.S. liquid) per day,meter^3 per second (m^3/s),0.0000000438126,0,m^3/s,
Flow Rate,gallon (U.S. liquid) per minute,meter^3 per second (m^3/s),0.0000630902,0,m^3/s,
Specific Fuel Consumption,gallon (U.S. liquid) per hp-h (SFC),meter^3 per joule (m^3/J),0.00000000141,0,m^3/J,
Magnetic Flux Density,gamma,tesla (T),0.000000001,0,T,
Magnetic Flux Density,gauss,tesla (T),0.0001,0,T,
Magnetomotive Force,gilbert,ampere (A),0.7957747,0,A,
Volume,gill (U.K.),meter^3 (m^3),0.000142065,0,m^3,
Volume,gill (U.S.),meter^3 (m^3),0.000118294,0,m^3,
Angle,grad,degree (angular),0.9,0,angular,
Angle,grad,radian (rad),0.01570796,0,rad,
Mass,grain (1/7000 lb avoirdupois),kilogram (kg),0.0000647989,0,kg,
Mass/Volume,grain (lb avoirdupois/7000)/gal (U.S.),kilogram per meter^3 (kg/m^3),0.01711806,0,kg/m^3,
Mass,gram,kilogram (kg),0.001,0,kg,
Density,g/cm^3,kilogram per meter^3 (kg/m^3),1000.0,0,kg/m^3,
Pressure,gram-force/cm^2,pascal (Pa),98.0665,0,Pa,
Length,inch,meter (m),0.0254,0,m,
Pressure,inch of mercury (32ｰF),pascal (Pa),3386.38,0,Pa,
Pressure,inch of mercury (60ｰF),pascal (Pa),3376.85,0,Pa,
Pressure,inch of water (39.2ｰF),pascal (Pa),2490.82,0,Pa,
Pressure,inch of water (60ｰF),pascal (Pa),248.84,0,Pa,
Area,in.^2,meter^2 (m^2),0.00064516,0,m^2,
Volume,in.^3 (volume; section modulus),meter^3 (m^3),0.0000163871,0,m^3,
Flow Rate,in.^3/min,meter^3 per second (m^3/s),0.000000273177,0,m^3/s,
Section Modulus,in.^4 (moment of section),meter4 (m^4),0.000000416231,0,m^4,
Velocity,in./s,meter per second (m/s),0.0254,0,m/s,
Acceleration,in./s^2,meter per second^2 (m/s^2),0.0254,0,m/s^2,
Wavenumber,kayser,1 per meter (1/m),100.0,0,1/m,
Temperature,kelvin,degree Celsius (ｰC),1.0,-273.15,ｰC,
Energy,kilocalorie (International Table),joule (J),4186.8,0,J,
Energy,kilocalorie (mean),joule (J),4190.02,0,J,
Energy,kilocalorie (thermochemical),joule (J),4184.0,0,J,
Power,kilocalorie (thermochemical)/min,watt (W),69.73333,0,W,
Power,kilocalorie (thermochemical)/s,watt (W),4184.0,0,W,
Force,kilogram-force (kgf),newton (N),9.80665,0,N,
Energy,kgf m,newton meter (N m),9.80665,0,N m,
Mass,kgf s^2/m (mass),kilogram (kg),9.80665,0,kg,
Pressure,kgf/cm^2,pascal (Pa),98066.5,0,Pa,
Pressure,kgf/m^2,pascal (Pa),9.80665,0,Pa,
Pressure,kgf/mm^2,pascal (Pa),9806650.0,0,Pa,
Speed,km/h,meter per second (m/s),0.2777778,0,m/s,
Force,kilopond,newton (N),9.80665,0,N,
Energy,kW h,joule (J),3600000.0,0,J,
Force,kip (1000 lbf),newton (N),4448.222,0,N,
Pressure,kip/in^2 (ksi),pascal (Pa),6894757.0,0,Pa,
Speed,knot (international),meter per second (m/s),0.5144444,0,m/s,
Luminance,lambert,candela per meter^2 (cd/m^2),3183.098862,0,cd/m^2,
Luminance,lambert,candela per meter^2 (cd/m^2),3183.099,0,cd/m^2,
Energy/Area,langley,joule per meter^2 (J/m^2),41840.0,0,J/m^2,
Length,light year,meter (m),9460550000000000.0,0,m,
Volume,liter,meter^3 (m^3),0.001,0,m^3,
Magnetic Flux,maxwell,weber (Wb),0.00000001,0,Wb,
Conductance,mho,siemens (S),1.0,0,S,
Length,microinch,meter (m),0.0000000254,0,m,
Length,micron,meter (m),0.000001,0,m,
Length,mil,meter (m),0.0000254,0,m,
Length,mile (international),meter (m),1609.344,0,m,
Length,mile (statute),meter (m),1609.3,0,m,
Length,mile (U.S. survey),meter (m),1609.347,0,m,
Length,mile (international nautical),meter (m),1852.0,0,m,
Length,mile (U.K. nautical),meter (m),1853.184,0,m,
Length,mile (U.S. nautical),meter (m),1852.0,0,m,
Area,mi^2 (international),meter^2 (m^2),2589988.0,0,m^2,
Area,mi^2 (U.S. survey),meter^2 (m^2),2589998.0,0,m^2,
Speed,mi/h (international),meter per second (m/s),0.44704,0,m/s,
Speed,mi/h (international),kilometer per hour (km/h),16.09344,0,km/h,
Speed,mi/min (international),meter per second (m/s),26.8224,0,m/s,
Speed,mi/s (international),meter per second (m/s),1609.344,0,m/s,
Pressure,millibar,pascal (Pa),100.0,0,Pa,
Pressure,millimeter of mercury (08C),pascal (Pa),133.322,0,Pa,
Angle,minute (angle),radian (rad),0.000290888,0,rad,
Time,minute (mean solar),second (s),60.0,0,s,
Time,minute (sidereal),second (s),59.83617,0,s,
Time,month (mean calendar),second (s),2628000.0,0,s,
Resistivity,Oersted,ampere per meter (A/m),79.57747,0,A/m,
Resistivity,ohm centimeter,ohm meter (O m),0.01,0,O m,
Resistivity,ohm circular-mill per foot,ohm millimeter^2 per meter,0.001662426,0,,
Mass,ounce (avoirdupois),kilogram (kg),0.02834952,0,kg,
Mass,ounce (troy or apothecary),kilogram (kg),0.03110348,0,kg,
Volume,ounce (U.K. fluid),meter^3 (m^3),0.0000284131,0,m^3,
Volume,ounce (U.S. fluid),meter^3 (m^3),0.0000297535,0,m^3,
Force,ounce-force,newton (N),0.2780139,0,N,
Energy,ozf-in.,newton meter (N m),0.007061552,0,N m,
Density,oz (avoirdupois)/gal (U.K. liquid),kilogram per meter^3 (kg/m^3),6.236021,0,kg/m^3,
Density,oz (avoirdupois)/gal (U.S. liquid),kilogram per meter^3 (kg/m^3),7.489152,0,kg/m^3,
Density,oz (avoirdupois)/in^3,kilogram per meter^3 (kg/m^3),1729.994,0,kg/m^3,
Pressure,oz (avoirdupois)/ft^2,kilogram per meter^3 (kg/m^3),0.3051517,0,kg/m^3,
Pressure,oz (avoirdupois)/yd^2,kilogram per meter^2 (kg/m^2),0.03390575,0,kg/m^2,
Length,parsec,meter (m),30856800000000000.0,0,m,
Volume,peck (U.S.),meter^3 (m^3),0.008809768,0,m^3,
Mass,pennyweight,kilogram (kg),0.001555174,0,kg,
Permeability,perm (0ｰC),kilogram per pascal second meter^2 (kg/Pa-s-m^2),0.0000000000572135,0,kg/Pa-s-m^2,
Permeability,perm (23ｰC),kilogram per pascal second meter^2 (kg/Pa-s-m^2),0.0000000000574525,0,kg/Pa-s-m^2,
Permeability,perm-in. (0ｰC),kilogram per pascal second meter (kg/Pa-s-m),0.00000000000145322,0,kg/Pa-s-m,
Permeability,perm-in. (23ｰC),kilogram per pascal second meter (kg/Pa-s-m),0.00000000000145929,0,kg/Pa-s-m,
Illuminance,phot,lumen per meter^2 (lm/m^2),10000.0,0,lm/m^2,
Length,pica (printer's),meter (m),0.004217518,0,m,
Volume,pint (U.S. dry),meter^3 (m^3),0.000550611,0,m^3,
Volume,pint (U.S. liquid),meter^3 (m^3),0.000473177,0,m^3,
Length,point (printer's),meter (m),0.00035146,0,m,
Viscosity,poise (absolute viscosity),pascal second (Pa-s),0.1,0,Pa-s,
Mass,pound (lb avoirdupois),kilogram (kg),0.4535924,0,kg,
Mass,pound (troy or apothecary),kilogram (kg),0.3732417,0,kg,
Moment of Inertia,lb ft^2 (moment of inertia),kilogram meter^2 (kg-m^2),0.04214011,0,kg-m^2,
Moment of Inertia,lb in.^2 (moment of inertia),kilogram meter^2 (kg-m^2),0.00029264,0,kg-m^2,
Dynamic Viscosity,lb/ft h,pascal second (Pa-s),0.000413379,0,Pa-s,
Dynamic Viscosity,lb/ft s,pascal second (Pa-s),1.488164,0,Pa-s,
Pressure,lb/ft^2,kilogram per meter^2 (kg/m^2),4.882428,0,kg/m^2,
Density,lb/ft^3,kilogram per meter^3 (kg/m^3),16.01846,0,kg/m^3,
Density,lb/gal (U.K. liquid),kilogram per meter^3 (kg/m^3),99.77633,0,kg/m^3,
Density,lb/gal (U.S. liquid),kilogram per meter^3 (kg/m^3),119.8264,0,kg/m^3,
Flow Rate,lb/h,kilogram per second (kg/s),0.000125998,0,kg/s,
Specific Fuel Consumption,lb/hp h (SFC specific fuel consumption),kilogram per joule (kg/J),0.000000168966,0,kg/J,
Density,lb/in.^3,kilogram per meter^3 (kg/m^3),27679.9,0,kg/m^3,
Flow Rate,lb/min,kilogram per second (kg/s),0.007559873,0,kg/s,
Flow Rate,lb/s,kilogram per second (kg/s),0.4535924,0,kg/s,
Density,lb/yd^3,kilogram per meter^3 (kg/m^3),0.5932764,0,kg/m^3,
Force,poundal,newton (N),0.138255,0,N,
Pressure,poundal/ft^2,pascal (Pa),1.488164,0,Pa,
Viscosity,poundal s/ft^2,pascal second (Pa-s),1.488164,0,Pa-s,
Force,pound-force (lbf),newton (N),4.448222,0,N,
Energy,lbf ft,newton meter (N-m),1.355818,0,N-m,
Energy,lbf ft/in.,newton meter per meter (N m/m),53.37866,0,N m/m,
Electric Current,statampere,ampere (A),0.000000000333564,0,A,
Electric Charge,statcoulomb,coulomb (C),0.000000000333564,0,C,
Capacitance,statfarad,farad (F),0.00000000000111265,0,F,
Inductance,stathenry,henry (H),898767000000.0,0,H,
Conductance,statmho,siemens (S),0.00000000000111265,0,S,
Resistance,statohm,ohm (O),898767000000.0,0,O,
Voltage,statvolt,volt (V),299.7925,0,V,
Volume,stere,meter^3 (m^3),0.0001,0,m^3,
Luminance,stilb,candela per meter^2 (cd/m^2),10000.0,0,cd/m^2,
Kinematic Viscosity,stokes (kinematic viscosity),meter^2 per second (m^2/s),0.0001,0,m^2/s,
Energy,lbf in.,newton meter (N m),0.1129848,0,N m,
Stress,lbf in./in.,newton meter per meter (N m/m),44.48222,0,N m/m,
Viscosity,lbf s/ft^2,pascal second (Pa s),47.88026,0,Pa s,
Pressure,lbf s/in.^2,pascal second (Pa s),6894.757,0,Pa s,
Pressure,lbf/ft,newton per meter (N/m),14.5939,0,N/m,
Pressure,lbf/ft^2,pascal (Pa),47.88026,0,Pa,
Force,lbf/in.,newton per meter (N/m),175.1268,0,N/m,
Pressure,lbf/in.^2 (psi),pascal (Pa),6894.757,0,Pa,
Ratio,lbf/lb (thrust/weight [mass] ratio),newton per kilogram (N/kg),9.80665,0,N/kg,
Volume,quart (U.S. dry),meter^3 (m^3),0.001101221,0,m^3,
Volume,quart (U.S. liquid),meter^3 (m^3),0.000946353,0,m^3,
Volume,tablespoon,meter^3 (m^3),0.0000147868,0,m^3,
Volume,teaspoon,meter^3 (m^3),0.00000492892,0,m^3,
Density,tex,kilogram per meter (kg/m),0.000001,0,kg/m,
Energy,therm,joule (J),105505600.0,0,J,
Mass,ton (assay),kilogram (kg),0.02916667,0,kg,
Mass,ton (long 2240 lb),kilogram (kg),1016.047,0,kg,
Mass,ton (metric),kilogram (kg),1000.0,0,kg,
Energy,ton (nuclear equivalent of TNT),joule (J),4184000000.0,0,J,
Power,ton (refrigeration),watt (W),3516.8,0,W,
Volume,ton (register),meter^3 (m^3),2.831685,0,m^3,
Mass,ton (short 2000 lb),kilogram (kg),907.1847,0,kg,
Density,ton (long)/yd^3,kilogram per meter^3 (kg/m^3),1328.939,0,kg/m^3,
Density,ton (short)/yd^3,kilogram per meter^3 (kg/m^3),1186.553,0,kg/m^3,
Radiation,rad (radiation dose absorbed),gray (Gy),0.01,0,Gy,
Viscosity,rhe,1 per pascal second (1/Pa s),10.0,0,1/Pa s,
Length,rod,meter (m),5.0292,0,m,
Radiation,roentgen,coulomb per kilogram (C/kg),0.000258,0,C/kg,
Angle,second (angle),radian (rad),0.00000484814,0,rad,
Time,second (sidereal),second (s),0.9972696,0,s,
Area,section,meter^2 (m^2),2589988.11,0,m^2,
Time,shake,second (s),0.00000001,0,s,
Mass,slug,kilogram (kg),14.5939,0,kg,
Dynamic Viscosity,slug/ft s,pascal second (Pa s),47.88026,0,Pa s,
Density,slug/ft^3,kilogram per meter^3 (kg/m^3),515.5788,0,kg/m^3,
Mass Flow Rate,ton (short)/h,kilogram per second (kg/s),0.2519958,0,kg/s,
Force,ton-force (2000 lbf),newton (N),8896.444,0,N,
Mass,tonne,kilogram (kg),1000.0,0,kg,
Pressure,torr (mmHg 0ｰC),pascal (Pa),133.322,0,Pa,
Area,township,meter^2 (m^2),93239571.97,0,m^2,
Power/Area,W/cm^2,watt per meter^2 (W/m^2),10000.0,0,W/m^2,
Power/Area,W/in^2,watt per meter^2 (W/m^2),1550.003,0,W/m^2,
Length,yard,meter (m),0.9144,0,m,
Area,yd^2,meter^2 (m^2),0.8361274,0,m^2,
Volume,yd^3,meter^3 (m^3),0.7645549,0,m^3,
Flow Rate,yd^3/min,meter^3 per second (m^3/s),0.01274258,0,m^3/s,
Time,year (365 days),second (s),31536000.0,0,s,
Time,year (sidereal),second (s),31558150.0,0,s,
Time,year (tropical),second (s),31556930.0,0,s,
Magnetic Charge,unit pole,weber (Wb),0.000000126,0,Wb,
Energy,W h,joule (J),3600.0,0,J,
Energy,W s,joule (J),1.0,0,J,
Electric Charge,abcoulomb,statcoulombs,29980000000.0,0,,
Area,acre,sq chain (Gunters),10.0,0,Gunters,
Area,acre,rods,160.0,0,,
Area,acre,sq links (Gunters),100000.0,0,Gunters,
Area,acre,hectare or sq hectometer,0.4047,0,,
Area,acres,sq ft,43560.0,0,,
Area,acres,sq meters,4047.0,0,,
Area,acres,sq miles,0.001562,0,,
Area,acres,sq yards,4840.0,0,,
Volume,acre-feet,cubic ft,43560.0,0,,
Volume,acre-feet,gallons,325900.0,0,,
Current Density,amperes/sq cm,amps/sq in.,6.452,0,,
Current Density,amperes/sq cm,amps/sq meter,10000.0,0,,
Current Density,amperes/sq in.,amps/sq cm,0.155,0,,
Current Density,amperes/sq in.,amps/sq meter,1550.0,0,,
Current Density,amperes/sq meter,amps/sq cm,0.0001,0,,
Current Density,amperes/sq meter,amps/sq in.,0.0006452,0,,
Electric Charge,ampere-hours,coulombs,3600.0,0,,
Electric Charge,ampere-hours,farads,0.03731,0,,
Magnetic Force,ampere-turns,gilberts,1.257,0,,
Magnetic Force,ampere-turns/cm,amp-turns/in.,2.54,0,,
Magnetic Force,ampere-turns/cm,amp-turns/meter,100.0,0,,
Magnetic Force,ampere-turns/cm,gilberts/cm,1.257,0,,
Magnetic Force,ampere-turns/in.,amp-turns/cm,0.3937,0,,
Magnetic Force,ampere-turns/in.,amp-turns/meter,39.37,0,,
Magnetic Force,ampere-turns/in.,gilberts/cm,0.495,0,,
Magnetic Force,ampere-turns/meter,amp/turns/cm,0.01,0,,
Magnetic Force,ampere-turns/meter,amp-turns/in.,0.0254,0,,
Magnetic Force,ampere-turns/meter,gilberts/cm,0.01257,0,,
Length,angstrom unit,in.,0.000003937,0,,
Length,angstrom unit,meter,0.0000000001,0,,
Length,angstrom unit,micron ,0.0001,0,,
