category,convert_from,convert_to,multiply_by,constant,abbreviation,
Area,are,acre (U.S.),0.02471,0,,
Area,ares,sq yards,119.6,0,,
Area,ares,acres,0.02471,0,,
Area,ares,sq meters,100.0,0,,
Distance,Astronomical unit,kilometers,149500000.0,0,,
Pressure,atmospheres,ton/sq in.,0.007348,0,,
Pressure,atmospheres,cm of mercury,76.0,0,,
Pressure,atmospheres,ft of water (at 4ｰC),33.9,0,,
Pressure,atmospheres,in. of mercury (at 0ｰC),29.92,0,,
Pressure,atmospheres,kg/sq cm,1.0333,0,,
Pressure,atmospheres,kg/sq meter,10332.0,0,,
Pressure,atmospheres,pounds/sq in.,14.7,0,,
Pressure,atmospheres,tons/sq ft,1.058,0,,
Volume,barrels (U.S. dry),cubic in.,7056.0,0,,
Volume,barrels (U.S. dry),quarts (dry),105.0,0,,
Volume,barrels (U.S. liquid),gallons,31.5,0,,
Volume,barrels (oil),gallons (oil),42.0,0,,
Pressure,bars,atmospheres,0.9869,0,,
Pressure,bars,dynes/sq cm,1000000.0,0,,
Pressure,bars,kg/sq meter,10200.0,0,,
Pressure,bars,pounds/sq ft,2089.0,0,,
Pressure,bars,pounds/sq in.,14.5,0,,
Pressure,baryl,dyne/sq cm,1.0,0,,
Length,bolt (U.S. cloth),meters,36.576,0,,
Energy,Btu,liter-atmosphere,10.409,0,,
Energy,Btu,ergs,10550000000.0,0,,
Energy,Btu,foot-lb,778.3,0,,
Energy,Btu,gram-calories,252.0,0,,
Energy,Btu,horsepower-hr,0.0003931,0,,
Energy,Btu,joules,1054.8,0,,
Energy,Btu,kilogram-calories,0.252,0,,
Energy,Btu,kilogram-meters,107.5,0,,
Energy,Btu,kilowatt-hr,0.0002928,0,,
Power,Btu/hr,foot-pounds/sec,0.2162,0,,
Power,Btu/hr,gram-cal/sec,0.07,0,,
Power,Btu/hr,horsepower-hr,0.0003929,0,,
Power,Btu/hr,watts,0.2931,0,,
Power,Btu/min,foot-lb/sec,12.96,0,,
Power,Btu/min,horsepower,0.02356,0,,
Power,Btu/min,kilowatts,0.01757,0,,
Power,Btu/min,watts,17.57,0,,
Power,Btu/sq ft/min,watts/sq in.,0.1221,0,,
Volume,bucket (Br. dry),cubic cm,18180.0,0,,
Volume,bushels,cubic ft,1.2445,0,,
Volume,bushels,cubic in.,2150.4,0,,
Volume,bushels,cubic meters,0.03524,0,,
Volume,bushels,liters,35.24,0,,
Volume,bushels,pecks,4.0,0,,
Volume,bushels,pints (dry),64.0,0,,
Volume,bushels,quarts (dry),32.0,0,,
Energy,calories,gram (mean),0.0039685,0,,
Luminance,candle/sq cm,lamberts,3.142,0,,
Luminance,candle/sq in.,lamberts,0.487,0,,
Area,centares (centiares),sq meters,1.0,0,,
Temperature,Centigrade,Fahrenheit,1.8,32,,
Mass,centigrams,grams,0.01,0,,
Volume,centiliter,ounce fluid (U.S.),0.3382,0,,
Volume,centiliter,cubic in.,0.6103,0,,
Volume,centiliter,drams,2.705,0,,
Volume,centiliters,liters,0.01,0,,
Length,centimeters,feet,0.03281,0,,
Length,centimeters,inches,0.3937,0,,
Length,centimeters,kilometers,0.00001,0,,
Length,centimeters,meters,0.01,0,,
Length,centimeters,miles,0.000006214,0,,
Length,centimeters,millimeters,10.0,0,,
Length,centimeters,miles,393.7,0,,
Length,centimeters,yards,0.01094,0,,
Force,centimeter-dynes,cm-grams,0.00102,0,,
Force,centimeter-dynes,meter-kg,0.0000000102,0,,
Force,centimeter-dynes,pound-feet,0.00000007376,0,,
Force,centimeter-grams,cm-dynes,980.7,0,,
Force,centimeter-grams,meter-kg,0.00001,0,,
Force,centimeter-grams,pound-feet,0.00007233,0,,
Pressure,centimeters of mercury,atmospheres,0.01316,0,,
Pressure,centimeters of mercury,feet of water,0.4461,0,,
Pressure,centimeters of mercury,kg/sq meter,136.0,0,,
Pressure,centimeters of mercury,pounds/sq ft,27.85,0,,
Pressure,centimeters of mercury,pounds/sq in.,0.1934,0,,
Speed,centimeters/sec,feet/min,1.1969,0,,
Speed,centimeters/sec,feet/sec,0.03281,0,,
Speed,centimeters/sec,kilometers/hr,0.036,0,,
Speed,centimeters/sec,knots,0.1943,0,,
Speed,centimeters/sec,meters/min,0.6,0,,
Speed,centimeters/sec,miles/hr,0.02237,0,,
Speed,centimeters/sec,miles/min,0.0003728,0,,
Acceleration,centimeters/sec/sec,feet/sec/sec,0.03281,0,,
Acceleration,centimeters/sec/sec,km/hr/sec,0.036,0,,
Acceleration,centimeters/sec/sec,meters/sec/sec,0.01,0,,
Acceleration,centimeters/sec/sec,miles/hr/sec,0.02237,0,,
Length,chain,inches,792.0,0,,
Length,chain,meters,20.12,0,,
Length,chains (surveyors' or Gunter's),yards,22.0,0,,
Area,circular mils,sq cms,0.000005067,0,,
Area,circular mils,sq mils,0.7854,0,,
Length,circumference,radians,6.283,0,,
Area,circular mils,sq inches,0.0000007854,0,,
Volume,cords,cord feet,8.0,0,,
Volume,cords,cord cubic feet,16.0,0,,
Charge,coulomb,statcoulombs,2998000000.0,0,,
Charge,coulombs,farads,0.00001036,0,,
Charge,coulombs/sq cm,coulombs/sq in.,64.52,0,,
Charge,coulombs/sq cm,coulombs/sq meter,10000.0,0,,
Charge,coulombs/sq in.,coulombs/sq cm,0.155,0,,
Charge,coulombs/sq in.,coulombs/sq meter,1550.0,0,,
Charge,coulombs/sq meter,coulombs/sq cm,0.0001,0,,
Charge,coulombs/sq meter,coulombs/sq in.,0.0006452,0,,
Volume,cubic centimeters,cubic ft,0.00003531,0,,
Volume,cubic centimeters,cubic in.,0.06102,0,,
Volume,cubic centimeters,cubic meters,0.000001,0,,
Volume,cubic centimeters,cubic yards,0.000001308,0,,
Volume,cubic centimeters,gallons (U.S. liq.),0.0002642,0,,
Volume,cubic centimeters,liters,0.001,0,,
Volume,cubic centimeters,pints (U.S. liq.),0.002113,0,,
Volume,cubic centimeters,quarts (U.S. liq.),0.001057,0,,
Volume,cubic feet,bushels (dry),0.8036,0,,
Volume,cubic feet,cubic cm,28320.0,0,,
Volume,cubic feet,cubic in.,1728.0,0,,
Volume,cubic feet,cubic meters,0.02832,0,,
Volume,cubic feet,cubic yards,0.03704,0,,
Volume,cubic feet,gallons (U.S. liq.),7.48052,0,,
Volume,cubic feet,liters,28.32,0,,
Volume,cubic feet,pints (U.S. liq.),59.84,0,,
Volume,cubic feet,quarts (U.S. liq.),29.92,0,,
Flow Rate,cubic feet/min,cubic cm/sec,472.0,0,,
Flow Rate,cubic feet/min,gallons/sec,0.1247,0,,
Flow Rate,cubic feet/min,liters/sec,0.472,0,,
Flow Rate,cubic feet/min,pounds of water/min,62.43,0,,
Flow Rate,cubic feet/sec,million gallons/day,0.646317,0,,
Flow Rate,cubic feet/sec,gallons/min,448.831,0,,
Volume,cubic inches,cubic cm,16.39,0,,
Volume,cubic inches,cubic feet,0.0005787,0,,
Volume,cubic inches,cubic meters,0.00001639,0,,
Volume,cubic inches,cubic yards,0.00002143,0,,
Volume,cubic inches,gallons,0.004329,0,,
Volume,cubic inches,liters,0.01639,0,,
Length,cubic inches,mil-feet,106100.0,0,,
Volume,cubic inches,pints (U.S. liq.),0.03463,0,,
Volume,cubic inches,quarts (U.S. liq.),0.01732,0,,
Volume,cubic meters,bushels (dry),28.38,0,,
Volume,cubic meters,cubic cm,1000000.0,0,,
Volume,cubic meters,cubic ft,35.31,0,,
Volume,cubic meters,cubic in.,61023.0,0,,
Volume,cubic meters,cubic yards,1.308,0,,
Volume,cubic meters,gallons (U.S. liq.),264.2,0,,
Volume,cubic meters,liters,1000.0,0,,
Volume,cubic meters,pints (U.S. liq.),2113.0,0,,
Volume,cubic meters,quarts (U.S. liq.),1057.0,0,,
Volume,cubic yards,cubic cms,764600.0,0,,
Volume,cubic yards,cubic ft,27.0,0,,
Volume,cubic yards,cubic in.,46656.0,0,,
Volume,cubic yards,cubic meters,0.7646,0,,
Volume,cubic yards,gallons (U.S. liq.),202.0,0,,
Volume,cubic yards,liters,764.6,0,,
Volume,cubic yards,pints (U.S. liq.),1615.9,0,,
Volume,cubic yards,quarts (U.S. liq.),807.9,0,,
Flow Rate,cubic yards/min,cubic ft/sec,0.45,0,,
Flow Rate,cubic yards/min,gallons/sec,3.367,0,,
Flow Rate,cubic yards/min,liters/sec,12.74,0,,
Mass,dalton,gram,0.0,0,,
Time,days,seconds,86400.0,0,,
Mass,decigrams,grams,0.1,0,,
Volume,deciliters,liters,0.1,0,,
Length,decimeters,meters,0.1,0,,
Angle,degrees (angle),quadrants,0.01111,0,,
Angle,degrees (angle),radians,0.01745,0,,
Angle,degrees (angle),seconds,3600.0,0,,
Angular Velocity,degrees/sec,radians/sec,0.01745,0,,
Angular Velocity,degrees/sec,revolutions/min,0.1667,0,,
Angular Velocity,degrees/sec,revolutions/sec,0.002778,0,,
Mass,dekagrams,grams,10.0,0,,
Volume,dekaliters,liters,10.0,0,,
Length,dekameters,meters,10.0,0,,
Mass,Drams (apothecaries' or troy),ounces (avoirdupois),0.1371429,0,,
Mass,Drams (apothecaries' or troy),ounces (troy),0.125,0,,
Volume,drams (U.S. fluid or apothecaries),cubic cm,3.697,0,,
Mass,drams,grams,1.7718,0,,
Mass,drams,grains,27.3437,0,,
Mass,drams,ounces,0.0625,0,,
Pressure,dyne/cm,erg/sq millimeter,0.01,0,,
Pressure,dyne/sq cm,atmospheres,0.0000009869,0,,
Pressure,dyne/sq cm,inches of mercury at 0ｰC,0.00002953,0,,
Pressure,dyne/sq cm,inches of water at 4ｰC,0.0004015,0,,
Force,dynes,grams,0.00102,0,,
Energy,dynes,joules/cm,0.0000001,0,,
Force,dynes,joules/meter (newtons),0.00001,0,,
Force,dynes,kilograms,0.00000102,0,,
Force,dynes,poundals,0.00007233,0,,
Force,dynes,pounds,0.000002248,0,,
Pressure,dynes/sq cm,bars,0.000001,0,,
Length,ell,cm,114.3,0,,
Length,ell,in.,45.0,0,,
Typography,em pica,in.,0.167,0,,
Typography,em pica,cm,0.4233,0,,
Power,erg/sec,dyne-cm/sec,1.0,0,,
Energy,ergs,Btu,0.0000000000948,0,,
Energy,ergs,dyne-cm,1.0,0,,
Energy,ergs,ft-lb,0.00000007367,0,,
Energy,ergs,g-cal,0.00000002389,0,,
Energy,ergs,g-cm,0.00102,0,,
Energy,ergs,horsepower-hr,0.00000000000003725,0,,
Energy,ergs,joules,0.0000001,0,,
Energy,ergs,kg-calories,0.00000000002389,0,,
Energy,ergs,kg-meters,0.0000000102,0,,
Energy,ergs,kilowatt-hr,0.00000000000002778,0,,
Energy,ergs,watt-hours,0.00000000002778,0,,
Power,ergs/sec,Btu/min,0.000005668,0,,
Power,ergs/sec,ft-lb/min,0.000004427,0,,
Power,ergs/sec,ft-lb/sec,0.000000073756,0,,
Power,ergs/sec,horsepower,0.0000000001341,0,,
Power,ergs/sec,kg-calories/min,0.000000001433,0,,
Power,ergs/sec,kilowatts,0.0000000001,0,,
Capacitance,farads,microfarads,1000000.0,0,,
Capacitance,farad/sec,ampere (absolute),96500.0,0,,
Capacitance,farads,ampere-hours,26.8,0,,
Capacitance,farads,coulombs,96490.0,0,,
Length,fathom,meter,1.828804,0,,
Length,fathoms,feet,6.0,0,,
Length,feet,centimeters,30.48,0,,
Length,feet,kilometers,0.000305,0,,
Length,feet,meters,0.3048,0,,
Length,feet,miles (naut.),0.000165,0,,
Length,feet,miles (stat.),0.000189,0,,
Length,feet,millimeters,304.8,0,,
Length,feet,mils,12000.0,0,,
Pressure,feet of water,atmospheres,0.0295,0,,
Pressure,feet of water,inches of mercury,0.8826,0,,
Pressure,feet of water,kg/sq cm,0.03048,0,,
Pressure,feet of water,kg/sq meter,304.8,0,,
Pressure,feet of water,pounds/sq ft,62.43,0,,
Pressure,feet of water,pounds/sq in.,0.4335,0,,
Speed,feet/min,cm/sec,0.508,0,,
Speed,feet/min,ft/sec,0.01667,0,,
Speed,feet/min,km/hr,0.01829,0,,
Speed,feet/min,meters/min,0.3048,0,,
Speed,feet/min,miles/hr,0.01136,0,,
Speed,feet/sec,cm/sec,30.48,0,,
Speed,feet/sec,km/hr,1.097,0,,
Speed,feet/sec,knots,0.5921,0,,
Speed,feet/sec,meters/min,18.29,0,,
Speed,feet/sec,miles/hr,0.6818,0,,
Speed,feet/sec,miles/min,0.01136,0,,
Acceleration,feet/sec/sec,cm/sec/sec,30.48,0,,
Acceleration,feet/sec/sec,km/hr/sec,1.097,0,,
Acceleration,feet/sec/sec,meters/sec/sec,0.3048,0,,
Acceleration,feet/sec/sec,miles/hr/sec,0.6818,0,,
Slope,feet/100 feet,percent grade,1.0,0,,
Illuminance,foot-candle,lumen/sq meter,10.764,0,,
Energy,foot-pounds,Btu,0.001286,0,,
Energy,foot-pounds,ergs,13560000.0,0,,
Energy,foot-pounds,gram-calories,0.3238,0,,
Energy,foot-pounds,hp-hr,0.000000505,0,,
Energy,foot-pounds,joules,1.356,0,,
Energy,foot-pounds,kg-calories,0.000324,0,,
Energy,foot-pounds,kg-meters,0.1383,0,,
Energy,foot-pounds,kilowatt-hr,0.0000003766,0,,
Power,foot-pounds/min,Btu/min,0.001286,0,,
Power,foot-pounds/min,foot-pounds/sec,0.01667,0,,
Power,foot-pounds/min,horsepower,0.0000303,0,,
Power,foot-pounds/min,kg-calories/min,0.000324,0,,
Power,foot-pounds/min,kilowatt,0.0000226,0,,
Power,foot-pounds/sec,Btu/hr,4.6263,0,,
Power,foot-pounds/sec,Btu/min,0.07717,0,,
Power,foot-pounds/sec,horsepower,0.001818,0,,
Power,foot-pounds/sec,kg-calories/min,0.01945,0,,
Power,foot-pounds/sec,kilowatts,0.001356,0,,
Distance,furlongs,miles (U.S.),0.125,0,,
Distance,furlongs,rods,40.0,0,,
Distance,furlongs,feet,660.0,0,,
Volume,gallons,cubic cm,3785.0,0,,
Volume,gallons,cubic ft,0.1337,0,,
Volume,gallons,cubic in.,231.0,0,,
Volume,gallons,cubic meters,0.003785,0,,
Volume,gallons,cubic yards,0.004951,0,,
Volume,gallons,liters,3.785,0,,
Volume,gallons (liq. Br. Imp.),gallons (U.S. liq.),1.20095,0,,
Volume,gallons (U.S.),gallons (Imp.),0.83267,0,,
Volume,gallons of water,pounds of water,8.3453,0,,
Flow Rate,gallons/min,cubic ft/sec,0.002228,0,,
Flow Rate,gallons/min,liters/sec,0.06308,0,,
Flow Rate,gallons/min,cubic ft/hr,8.0208,0,,
Magnetic Flux,gauss,lines/sq in.,6.452,0,,
Magnetic Flux,gauss,webers/sq cm,0.00000001,0,,
Magnetic Flux,gauss,webers/sq in.,0.00000006452,0,,
Magnetic Flux,gauss,webers/sq meter,0.0001,0,,
Magnetic Flux,gilberts,ampere-turns,0.7958,0,,
Magnetic Flux,gilberts/cm,amp-turns/cm,0.7958,0,,
Magnetic Flux,gilberts/cm,amp-turns/in.,2.021,0,,
Magnetic Flux,gilberts/cm,amp-turns/meter,79.58,0,,
Volume,gills (British),cubic cm,142.07,0,,
Volume,gills,liters,0.1183,0,,
Volume,gills,pints (liq.),0.25,0,,
Angle,grade,radian,0.01571,0,,
Weight,grains (avoirdupois),drams (avoirdupois),0.03657143,0,,
Weight,grains (troy),grains (avdp.),1.0,0,,
Weight,grains (troy),grams,0.0648,0,,
Weight,grains (troy),ounces (avdp.),0.0020833,0,,
Weight,grains (troy),pennyweight (troy),0.04167,0,,
Concentration,grains/U.S. gal,parts/million,17.118,0,,
Concentration,grains/U.S. gal,pounds/million gal,142.86,0,,
Concentration,grains/Imp. gal,parts/million,14.286,0,,
Force,grams,dynes,980.7,0,,
Weight,grams,grains,15.43,0,,
Energy,grams,joules/cm (newtons),0.00009807,0,,
Energy,grams,joules/meter (newtons),0.009807,0,,
Weight,grams,kilograms,0.001,0,,
Weight,grams,milligrams,1000.0,0,,
Weight,grams,ounces (avdp.),0.03527,0,,
Weight,grams,ounces (troy),0.03215,0,,
Force,grams,poundals,0.07093,0,,
Weight,grams,pounds,0.002205,0,,
Force,grams/cm,pounds/inch,0.0056,0,,
Weight,grams/cubic cm,pounds/cubic ft,62.43,0,,
Weight,grams/cubic cm,pounds/cubic in.,0.03613,0,,
Weight,grams/cubic cm,pounds/mil-foot,0.000000341,0,,
Concentration,grams/liter,grains/gal,58.417,0,,
Concentration,grams/liter,pounds/1000 gal,8.345,0,,
Concentration,grams/liter,pounds/cubic ft,0.062427,0,,
Concentration,grams/liter,parts/million,1000.0,0,,
Weight,grams/sq cm,pounds/sq ft,2.0481,0,,
Energy,gram-calories,Btu,0.0039683,0,,
Energy,gram-calories,ergs,41868000.0,0,,
Energy,gram-calories,foot-pounds,3.088,0,,
Energy,gram-calories,horsepower-hr,0.00000156,0,,
Energy,gram-calories,kilowatt-hr,0.000001163,0,,
Energy,gram-calories,watt-hr,0.001163,0,,
Energy,gram-calories/sec,Btu/hr,14.286,0,,
Energy,gram-centimeters,Btu,0.000000093,0,,
Energy,gram-centimeters,ergs,980.7,0,,
Energy,gram-centimeters,joules,0.00009807,0,,
Energy,gram-centimeters,kg-cal,0.0000000234,0,,
Energy,gram-centimeters,kg-meters,0.00001,0,,
Length,hands,centimeters,10.16,0,,
Area,hectares,acres,2.471,0,,
Area,hectares,square feet,107600.0,0,,
Weight,hectograms,grams,100.0,0,,
Volume,hectoliters,liters,100.0,0,,
Length,hectometers,meters,100.0,0,,
Power,hectowatts,watts,100.0,0,,
Inductance,henries,millihenries,1000.0,0,,
Volume,hogsheads (British.),cubic ft,10.114,0,,
Volume,hogsheads (U.S.),cubic ft,8.42184,0,,
Volume,hogsheads (U.S.),gallons (U.S.),63.0,0,,
Power,horsepower,Btu/min,42.44,0,,
Power,horsepower,foot-pounds/min,33000.0,0,,
Power,horsepower,foot-pounds/sec,550.0,0,,
Power,horsepower (metric),horsepower (550 ft-lb/sec),0.9863,0,,
Power,horsepower (metric),horsepower (542.5 ft-lb/sec),1.014,0,,
Power,horsepower (metric),kg-calories/min,10.68,0,,
Power,horsepower (metric),kilowatts,0.7457,0,,
Power,horsepower (metric),watts,745.7,0,,
Power,horsepower (boiler),Btu/hr,33.479,0,,
Power,horsepower (boiler),kilowatts,9.803,0,,
Energy,horsepower-hour,Btu,2547.0,0,,
Energy,horsepower-hour,ergs,26845000000000.0,0,,
Energy,horsepower-hour,foot-pounds,1980000.0,0,,
Energy,horsepower-hour,gram-calories,641190.0,0,,
Energy,horsepower-hour,joules,2684000.0,0,,
Energy,horsepower-hour,kilogram-calories,641.1,0,,
Energy,horsepower-hour,kilogram-meters,273700.0,0,,
Energy,horsepower-hour,kilowatt-hour,0.7457,0,,
Time,hours,days,0.04167,0,,
Time,hours,weeks,0.005952,0,,
Weight,hundredweights (long),pounds,112.0,0,,
Weight,hundredweights (long),long tons,0.05,0,,
Weight,hundredweights (short),ounces (avoirdupois),1600.0,0,,
Weight,hundredweights (short),pounds,100.0,0,,
Weight,hundredweights (short),metric tons,0.0453592,0,,
Weight,hundredweights (short),long tons,0.0446429,0,,
Length,inches,centimeters,2.54,0,,
Length,inches,meters,0.0254,0,,
Length,inches,miles,0.00001578,0,,
Length,inches,millimeters,25.4,0,,
Length,inches,mils,1000.0,0,,
Length,inches,yards,0.02778,0,,
Pressure,inches of mercury,atmospheres,0.03342,0,,
Pressure,inches of mercury,feet of water,1.133,0,,
Pressure,inches of mercury,kilograms per square centimeter,0.03453,0,,
Pressure,inches of mercury,kilograms per square meter,345.3,0,,
Pressure,inches of mercury,pounds per square foot,70.73,0,,
Pressure,inches of mercury,pounds per square inch,0.4912,0,,
Pressure,inches of water (at 4ｰC),atmospheres,0.002458,0,,
Pressure,inches of water (at 4ｰC),inches of mercury,0.07355,0,,
Pressure,inches of water (at 4ｰC),kilograms per square centimeter,0.00254,0,,
Pressure,inches of water (at 4ｰC),ounces per square inch,0.5781,0,,
Pressure,inches of water (at 4ｰC),pounds per square foot,5.204,0,,
Pressure,inches of water (at 4ｰC),pounds per square inch,0.03613,0,,
Electric Current,International ampere,ampere (absolute),0.9998,0,,
Electric Potential,International volt,volts (absolute),1.0003,0,,
Energy,joules,Btu,0.000948,0,,
Energy,joules,ergs,10000000.0,0,,
Energy,joules,foot-pounds,0.7376,0,,
Energy,joules,kilograms-calories,0.0002389,0,,
Energy,joules,kilograms-meters,0.102,0,,
Energy,joules,watt-hours,0.0002778,0,,
Energy,joules per cm,grams,10200.0,0,,
Energy,joules per cm,dynes,10000000.0,0,,
Energy,joules per cm,joules per meter (newtons),100.0,0,,
Energy,joules per cm,poundals,723.3,0,,
Energy,joules per cm,pounds,22.48,0,,
Weight,kilograms,dynes,980665.0,0,,
Weight,kilograms,grams,1000.0,0,,
Weight,kilograms,joules per cm,0.09807,0,,
Weight,kilograms,joules per meter (newtons),9.807,0,,
Weight,kilograms,poundals,70.93,0,,
Weight,kilograms,pounds,2.205,0,,
Weight,kilograms,tons (long),0.0009842,0,,
Weight,kilograms,tons (short),0.001102,0,,
Density,kilograms per cubic meter,grams per cubic cm,0.001,0,,
Density,kilograms per cubic meter,pounds per cubic foot,0.06243,0,,
Density,kilograms per cubic meter,pounds per cubic inch,0.00003613,0,,
Density,kilograms per cubic meter,pounds per mil-foot,0.0000000003405,0,,
Density,kilograms per meter,pounds per foot,0.672,0,,
Pressure,kilograms per square cm,dynes,980665.0,0,,
Pressure,kilograms per square cm,atmospheres,0.9678,0,,
Pressure,kilograms per square cm,feet of water,32.81,0,,
Pressure,kilograms per square cm,inches of mercury,28.96,0,,
Pressure,kilograms per square cm,pounds per square foot,2048.0,0,,
Pressure,kilograms per square cm,pounds per square inch,14.22,0,,
Pressure,kilograms per square meter,atmospheres,0.00009678,0,,
Pressure,kilograms per square meter,bars,0.00009807,0,,
Pressure,kilograms per square meter,feet of water,0.003281,0,,
Pressure,kilograms per square meter,inches of mercury,0.002896,0,,
Pressure,kilograms per square meter,pounds per square foot,0.2048,0,,
Pressure,kilograms per square meter,pounds per square inch,0.001422,0,,
Pressure,kilograms per square mm,kilograms per square meter,1000000.0,0,,
Energy,kilogram-calories,Btu,3.968,0,,
Energy,kilogram-calories,foot-pounds,3088.0,0,,
