category,convert_from,convert_to,multiply_by,constant,abbreviation,
Energy,kilogram-calories,horsepower-hours,0.00156,0,,
Energy,kilogram-calories,joules,4186.0,0,,
Energy,kilogram-calories,kilogram-meters,426.9,0,,
Energy,kilogram-calories,kilojoules,4.186,0,,
,kilogram-calories,kilowatt-hours,0.001163,0,,
,kilogram-meters,Btu,0.009294,0,,
,kilogram-meters,ergs,98040000.0,0,,
,kilogram-meters,foot-pounds,7.233,0,,
,kilogram-meters,joules,9.804,0,,
,kilogram-meters,kilogram-calories,0.002342,0,,
,kilogram-meters,kilowatt-hours,0.000002723,0,,
,kilolines,maxwells,1000.0,0,,
,kiloliters,liters,1000.0,0,,
Length,kilometers,centimeters,100000.0,0,,
Length,kilometers,feet,3281.0,0,,
Length,kilometers,inches,39370.0,0,,
Length,kilometers,meters,1000.0,0,,
Length,kilometers,miles,0.6214,0,,
Length,kilometers,millimeters,1000000.0,0,,
Length,kilometers,yards,1094.0,0,,
Speed,kilometers per hour,centimeters per second,27.78,0,,
Speed,kilometers per hour,feet per minute,54.68,0,,
Speed,kilometers per hour,feet per second,0.9113,0,,
Speed,kilometers per hour,knots,0.5396,0,,
Speed,kilometers per hour,meters per minute,16.67,0,,
Speed,kilometers/hr,miles/hr,0.6214,0,,
Acceleration,kilometers/hr/sec,cm/sec/sec,27.78,0,,
Acceleration,kilometers/hr/sec,ft/sec/sec,0.9113,0,,
Acceleration,kilometers/hr/sec,meters/sec/sec,0.2778,0,,
Acceleration,kilometers/hr/sec,miles/hr/sec,0.6214,0,,
Power,kilowatts,Btu/min,56.92,0,,
Power,kilowatts,ft-lb/min,44260.0,0,,
Power,kilowatts,ft-lb/sec,737.6,0,,
Power,kilowatts,horsepower,1.341,0,,
Power,kilowatts,kg-calories/min,14.34,0,,
Power,kilowatts,watts,1000.0,0,,
Energy,kilowatt-hr,Btu,3413.0,0,,
Energy,kilowatt-hr,ergs,36000000000000.0,0,,
Energy,kilowatt-hr,ft-lb,2655000.0,0,,
Energy,kilowatt-hr,gram-calories,859850.0,0,,
Energy,kilowatt-hr,horsepower-hr,1341.0,0,,
Energy,kilowatt-hr,joules,3600000.0,0,,
Energy,kilowatt-hr,kg-calories,860.5,0,,
Energy,kilowatt-hr,kg-meters,367100.0,0,,
Energy,kilowatt-hr,pounds of water evaporated from and at 212ｰF,3.53,0,,
Energy,kilowatt-hr,pounds of water raised from 62ｰF to 212ｰF,22.75,0,,
Speed,knots,ft/hr,6080.0,0,,
Speed,knots,kilometers/hr,1.8532,0,,
Speed,knots,nautical miles/hr,1.0,0,,
Speed,knots,statute miles/hr,1.151,0,,
Speed,knots,yards/hr,2027.0,0,,
Speed,knots,ft/sec,1.689,0,,
Volume,liters,bushels (U.S. dry),0.02833,0,,
Volume,liters,cubic cm,1000.0,0,,
Distance,league,miles (approx.),3.0,0,,
Distance,light year,miles,5900000000000.0,0,,
Distance,light year,kilometers,9460910000000.0,0,,
Pressure,lines/sq cm,gauss,1.0,0,,
Pressure,lines/sq in.,gauss,0.155,0,,
Pressure,lines/sq in.,webers/sq cm,0.00000000155,0,,
Pressure,lines/sq in.,webers/sq in.,0.00000001,0,,
Pressure,lines/sq in.,webers/sq meter,0.0000155,0,,
Length,links (engineer's),inches,12.0,0,,
Length,links (surveyor's),inches,7.92,0,,
Volume,liters,cubic ft,0.03531,0,,
Volume,liters,cubic in.,61.02,0,,
Volume,liters,cubic meters,0.001,0,,
Volume,liters,cubic yards,0.001308,0,,
Volume,liters,gallons (U.S. liq.),0.2642,0,,
Volume,liters,pints (U.S. liq.),2.113,0,,
Volume,liters,quarts (U.S. liq.),1.057,0,,
Flow Rate,liters/min,cubic ft/sec,0.0005886,0,,
Flow Rate,liters/min,gallons/sec,0.004403,0,,
Illuminance,lumens/sq ft,foot-candles,1.0,0,,
Luminous Flux,lumen,spherical candle power,0.07958,0,,
Luminous Flux,lumen,watt,0.001496,0,,
Illuminance,lumen/sq ft,lumen/sq meter,10.76,0,,
Illuminance,lux,foot-candles,0.0929,0,,
Magnetic Flux,maxwells,kilolines,0.001,0,,
Magnetic Flux,maxwells,webers,0.00000001,0,,
Magnetic Flux,megalines,maxwells,1000000.0,0,,
Magnetic Flux,megohms,microhms,1000000000000.0,0,,
Magnetic Flux,megohms,ohms,1000000.0,0,,
Length,meters,centimeters,100.0,0,,
Length,meters,feet,3.281,0,,
Length,meters,inches,39.37,0,,
Length,meters,kilometers,0.001,0,,
Length,meters,miles (naut.),0.0005396,0,,
Length,meters,miles (stat.),0.0006214,0,,
Length,meters,millimeters,1000.0,0,,
Length,meters,yards,1.0940,0,,
Length,meters,varas,1.179,0,,
Speed,meters/min,cm/sec,1.667,0,,
Speed,meters/min,ft/min,3.281,0,,
Speed,meters/min,ft/sec,0.05468,0,,
Speed,meters/min,km/hr,0.06,0,,
Speed,meters/min,knots,0.03238,0,,
Speed,meters/min,miles/hr,0.03728,0,,
Speed,meters/sec,ft/min,196.8,0,,
Speed,meters/sec,ft/sec,3281.0,0,,
Speed,meters/sec,kilometers/hr,3.6,0,,
Speed,meters/sec,kilometers/min,0.06,0,,
Speed,meters/sec,miles/hr,2.237,0,,
Speed,meters/sec,miles/min,0.03728,0,,
Acceleration,meters/sec/sec,cm/sec/sec,100.0,0,,
Acceleration,meters/sec/sec,ft/sec/sec,3.281,0,,
Acceleration,meters/sec/sec,km/hr/sec,3.6,0,,
Acceleration,meters/sec/sec,miles/hr/sec,2.237,0,,
Energy,meter-kilograms,cm-dynes,98070000.0,0,,
Energy,meter-kilograms,cm-grams,100000.0,0,,
Energy,meter-kilograms,pound-feet,7.233,0,,
Capacitance,microfarad,farad,0.000001,0,,
Mass,micrograms,grams,0.000001,0,,
Resistance,microhms,megohms,0.000000000001,0,,
Resistance,microhms,ohms,0.000001,0,,
Volume,microliters,liters,0.000001,0,,
Length,microns,meters,0.000001,0,,
Distance,miles (naut.),miles (statute),1.1516,0,,
Distance,miles (naut.),yards,2027.0,0,,
Distance,miles (statute),centimeters,160900.0,0,,
Distance,miles (statute),feet,5280.0,0,,
Distance,miles (statute),inches,63360.0,0,,
Distance,miles (statute),kilometers,1.609,0,,
Distance,miles (statute),meters,1609.0,0,,
Distance,miles (statute),miles (naut.),0.8684,0,,
Distance,miles (statute),yards,1760.0,0,,
Speed,miles/hr,cm/sec,44.7,0,,
Speed,miles/hr,ft/min,88.0,0,,
Speed,miles/hr,ft/sec,1.467,0,,
Speed,miles/hr,km/hr,1.609,0,,
Speed,miles/hr,km/min,0.02682,0,,
Speed,miles/hr,knots,0.8684,0,,
Speed,miles/hr,meters/min,26.82,0,,
Speed,miles/hr,miles/min,0.1667,0,,
Acceleration,miles/hr/sec,cm/sec/sec,44.7,0,,
Acceleration,miles/hr/sec,ft/sec/sec,1.467,0,,
Acceleration,miles/hr/sec,km/hr/sec,1.609,0,,
Acceleration,miles/hr/sec,meters/sec/sec,0.447,0,,
Speed,miles/min,cm/sec,2682.0,0,,
Speed,miles/min,ft/sec,88.0,0,,
Speed,miles/min,km/min,1.609,0,,
Speed,miles/min,knots/min,0.8684,0,,
Speed,miles/min,miles/hr,60.0,0,,
Length,mil-feet,cubic in.,0.000009425,0,,
Mass,milliers,kilograms,1000.0,0,,
Length,millimicrons,meters,0.000000001,0,,
Mass,milligrams,grains,0.01543236,0,,
Mass,milligrams,grams,0.001,0,,
Density,milligrams/liter,part/million,1.0,0,,
Inductance,millihenries,henries,0.001,0,,
Volume,Milliliters,Liters,0.001,0,,
Length,Millimeters,Centimeters,0.1,0,,
Length,Millimeters,Feet,0.003281,0,,
Length,Millimeters,Inches,0.03937,0,,
Length,Millimeters,Kilometers,0.000001,0,,
Length,Millimeters,Meters,0.001,0,,
Length,Millimeters,Miles,0.0000006214,0,,
Length,Millimeters,Mils,39.37,0,,
Length,Millimeters,Yards,0.001094,0,,
Length,Mils,Centimeters,0.00254,0,,
Length,Million gals/day,cubic ft/sec,1.54723,0,,
Length,Mils,Feet,0.00008333,0,,
Length,Mils,Inches,0.001,0,,
Length,Mils,Kilometers,0.0000000254,0,,
Length,Mils,Yards,0.00002778,0,,
Flow Rate,Miner's Inches,Cubic Feet per Minute,1.5,0,,
Volume,Minims (U.K.),Cubic Centimeters,0.059192,0,,
Volume,Minims (U.S. fluid),Cubic Centimeters,0.061612,0,,
Angle,Minutes (angles),Degrees,0.01667,0,,
Angle,Minutes (angles),Quadrants,0.0001852,0,,
Angle,Minutes (angles),Radians,0.0002909,0,,
Angle,Minutes (angles),Seconds,60.0,0,,
Distance,Miles (nautical),Feet,6080.27,0,,
Distance,Miles (nautical),Kilometers,1.853,0,,
Distance,Miles (nautical),Meters,1853.0,0,,
Power,Myriagrams,Kilograms,10.0,0,,
Length,Myriameters,Kilometers,10.0,0,,
Power,Myriawatts,Kilowatts,10.0,0,,
Logarithmic Ratio,Nepers,Decibels,8.686,0,,
Force,Newtons,Dynes,100000.0,0,,
Resistance,ohm (International),ohm (absolute),1.0005,0,,
Resistance,ohms,megohms,0.000001,0,,
Resistance,ohms,microhms,1000000.0,0,,
Mass,ounces,drams,16.0,0,,
Mass,ounces,grains,437.5,0,,
Mass,ounces,grams,28.349527,0,,
Mass,ounces,pounds,0.0625,0,,
Mass,ounces,ounces (troy),0.9115,0,,
Mass,ounces,tons (long),0.0000279,0,,
Mass,ounces,tons (metric),0.00002835,0,,
Volume,ounces (fluid),cubic in.,1.805,0,,
Volume,ounces (fluid),liters,0.02957,0,,
Mass,ounces (troy),grains,480.0,0,,
Mass,ounces (troy),grams,31.103481,0,,
Mass,ounces (troy),ounces (avdp.),1.09714,0,,
Mass,ounces (troy),pennyweights (troy),20.0,0,,
Mass,ounces (troy),pounds (troy),0.08333,0,,
Pressure,ounce/sq in.,dynes/sq cm,4309.0,0,,
Pressure,ounces/sq in.,pounds/sq in.,0.0625,0,,
Distance,parsec,miles,19000000000000.0,0,,
Distance,parsec,kilometers,308400000000000.0,0,,
Concentration,parts/million,grains/U.S. gal,0.0584,0,,
Concentration,parts/million,grains/Imp. gal,0.07016,0,,
Concentration,parts/million,pounds/million gal,8.345,0,,
Volume,pecks (U.K.),cubic in.,554.6,0,,
Volume,pecks (U.K.),liters,9.091901,0,,
Volume,pecks (U.S.),bushels,0.25,0,,
Volume,pecks (U.S.),cubic in.,537.605,0,,
Volume,pecks (U.S.),liters,8.809582,0,,
Volume,pecks (U.S.),quarts (dry),8.0,0,,
Mass,pennyweights (troy),grains,24.0,0,,
Mass,pennyweights (troy),ounces (troy),0.05,0,,
Mass,pennyweights (troy),grams,1.55517,0,,
Mass,pennyweights (troy),pounds (troy),0.0041667,0,,
Volume,pints (dry),cubic in.,33.6,0,,
Volume,pints (liq.),cubic cm,473.2,0,,
Volume,pints (liq.),cubic ft,0.01671,0,,
Volume,pints (liq.),cubic in.,28.87,0,,
Volume,pints (liq.),cubic meters,0.0004732,0,,
Volume,pints (liq.),cubic yards,0.0006189,0,,
Volume,pints (liq.),gallons,0.125,0,,
Volume,pints (liq.),liters,0.4732,0,,
Volume,pints (liq.),quarts (liq.),0.5,0,,
Quantum Physics,Planck's quantum,erg/sec,0.000000000000000000000000006624,0,,
Viscosity,poise,gram/cm sec,1.0,0,,
Mass,pounds (avoirdupois),ounces (troy),14.5833,0,,
Force,poundals,dynes,13826.0,0,,
Mass,poundals,grams,14.1,0,,
Mass,poundals,joules/cm,0.001383,0,,
Mass,poundals,joules/meter (newtons),0.1383,0,,
Mass,poundals,kilograms,0.0141,0,,
Mass,poundals,pounds,0.03108,0,,
Mass,pounds,drams,256.0,0,,
Mass,pounds,dynes,444823.0,0,,
Mass,pounds,grains,7000.0,0,,
Mass,pounds,grams,453.5924,0,,
Mass,pounds,joules/cm,0.04448,0,,
Mass,pounds,joules/meter (newtons),4.448,0,,
Mass,pounds,kilograms,0.4536,0,,
Mass,pounds,ounces,16.0,0,,
Mass,pounds,ounces (troy),14.5833,0,,
Mass,pounds,poundals,32.17,0,,
Mass,pounds,pounds (troy),1.21528,0,,
Mass,pounds,tons (short),0.0005,0,,
Mass,pounds (troy),grains,5760.0,0,,
Mass,pounds (troy),grams,373.24177,0,,
Mass,pounds (troy),ounces (avdp.),13.1657,0,,
Mass,pounds (troy),ounces (troy),12.0,0,,
Mass,pounds (troy),pennyweights (troy),240.0,0,,
Mass,pounds (troy),pounds (avdp.),0.822857,0,,
Mass,pounds (troy),tons (long),0.00036735,0,,
Mass,pounds (troy),tons (metric),0.00037324,0,,
Mass,pounds (troy),tons (short),0.00041143,0,,
Weight,pounds of water,cubic ft,0.01602,0,,
Weight,pounds of water,cubic in.,27.68,0,,
Weight,pounds of water,gallons,0.1198,0,,
Flow Rate,pounds of water/min,cubic ft/sec,0.000267,0,,
Torque,pound-feet,cm-dynes,13560000.0,0,,
Torque,pound-feet,cm-grams,13825.0,0,,
Torque,pound-feet,meter-kg,0.1383,0,,
Density,pounds/cubic ft,grams/cubic cm,0.01602,0,,
Density,pounds/cubic ft,kg/cubic meter,16.02,0,,
Density,pounds/cubic ft,pounds/cubic in.,0.0005787,0,,
Density,pounds/cubic ft,pounds/mil-foot,0.000000005456,0,,
Density,pounds/cubic in.,gm/cubic cm,27.68,0,,
Density,pounds/cubic in.,kg/cubic meter,27680.0,0,,
Density,pounds/cubic in.,pounds/cubic ft,1728.0,0,,
Density,pounds/cubic in.,pounds/mil-foot,0.000009425,0,,
Force,pounds/ft,kg/meter,1.488,0,,
Force,pounds/in.,gm/cm,178.6,0,,
Electrical Conductivity,pounds/mil-foot,gm/cubic cm,2306000.0,0,,
Pressure,pounds/sq ft,atmospheres,0.0004725,0,,
Pressure,pounds/sq ft,feet of water,0.01602,0,,
Pressure,pounds/sq ft,inches of mercury,0.01414,0,,
Pressure,pounds/sq ft,kg/sq meter,4.882,0,,
Pressure,pounds/sq ft,pounds/sq in.,0.006944,0,,
Pressure,pounds/sq in.,atmospheres,0.06804,0,,
Pressure,pounds/sq in.,feet of water,2.307,0,,
Pressure,pounds/sq in.,inches of mercury,2.036,0,,
Pressure,pounds/sq in.,kg/sq meter,703.1,0,,
Pressure,pounds/sq in.,pounds/sq ft,144.0,0,,
Angle,quadrants (angle),degrees,90.0,0,,
Angle,quadrants (angle),minutes,5400.0,0,,
Angle,quadrants (angle),radians,1.571,0,,
Angle,quadrants (angle),seconds,324000.0,0,,
Volume,quarts (dry),cubic in.,67.2,0,,
Volume,quarts (liq.),cubic cm,946.4,0,,
Volume,quarts (liq.),cubic ft,0.03342,0,,
Volume,quarts (liq.),cubic in.,57.75,0,,
Volume,quarts (liq.),cubic meters,0.0009464,0,,
Volume,quarts (liq.),cubic yards,0.001238,0,,
Volume,quarts (liq.),gallons (U.S. liq.),0.25,0,,
Volume,quarts (liq.),liters,0.9463,0,,
Angle,radians,degrees,57.3,0,,
Angle,radians,minutes,3438.0,0,,
Angle,radians,quadrants,0.6366,0,,
Angle,radians,seconds,206300.0,0,,
Rotation,revolutions,degrees,360.0,0,,
Rotation,revolutions,quadrants,4.0,0,,
Rotation,revolutions,radians,6.283,0,,
Angular Velocity,radians/sec,degrees/sec,57.3,0,,
Angular Velocity,radians/sec,rev/min,9.549,0,,
Angular Velocity,radians/sec,rev/sec,0.1592,0,,
Angular Acceleration,radians/sec/sec,rev/min/min,573.0,0,,
Angular Acceleration,radians/sec/sec,rev/min/sec,9.549,0,,
Angular Acceleration,radians/sec/sec,rev/sec/sec,0.1592,0,,
Rotation,revolutions/min,degrees/sec,6.0,0,,
Rotation,revolutions/min,radians/sec,0.1047,0,,
Rotation,revolutions/min,rev/sec,0.01667,0,,
Angular Acceleration,revolutions/min/min,radians/sec/sec,0.001745,0,,
Angular Acceleration,revolutions/min/min,rev/min/sec,0.01667,0,,
Angular Acceleration,revolutions/min/min,rev/sec/sec,0.0002778,0,,
Rotation,revolutions/sec,degrees/sec,360.0,0,,
Rotation,revolutions/sec,radians/sec,6.283,0,,
Rotation,revolutions/sec,rev/min,60.0,0,,
Angular Acceleration,revolutions/sec/sec,radians/sec/sec,6.283,0,,
Angular Acceleration,revolutions/sec/sec,rev/min/min,3600.0,0,,
Angular Acceleration,revolutions/sec/sec,rev/min/sec,60.0,0,,
Length,rod,chain (Gunters),0.25,0,,
Length,rod,meters,5.029,0,,
Length,rods (surveyors・meas.),yards,5.5,0,,
Length,rods,feet,16.5,0,,
Mass,scruples,grains,20.0,0,,
Angle,seconds (angle),degrees,0.0002778,0,,
Angle,seconds (angle),minutes,0.01667,0,,
Angle,seconds (angle),quadrants,0.000003087,0,,
Angle,seconds (angle),radians,0.000004848,0,,
Mass,slug,kilogram,14.5,0,,
Mass,slug,pounds,32.17,0,,
Geometry,sphere,steradians,12.57,0,,
Area,square centimeters,circular mils,197300.0,0,,
Area,square centimeters,sq ft,0.001076,0,,
Area,square centimeters,sq in.,0.155,0,,
Area,square centimeters,sq meters,0.0001,0,,
Area,square centimeters,sq miles,0.00000000003861,0,,
Area,square centimeters,sq millimeters,100.0,0,,
Area,square centimeters,sq yards,0.0001196,0,,
Area,square feet,acres,0.00002296,0,,
Area,square feet,circular mils,183300000.0,0,,
Area,square feet,sq cm,929.0,0,,
Area,square feet,sq in.,144.0,0,,
Area,square feet,sq meters,0.0929,0,,
Area,square feet,sq miles,0.00000003587,0,,
Area,square feet,sq millimeters,92900.0,0,,
Area,square feet,sq yards,0.1111,0,,
Area,square inches,circular mils,1273000.0,0,,
Area,square inches,sq cm,6.452,0,,
Area,square inches,sq ft,0.0006944,0,,
Area,square inches,sq millimeters,645.2,0,,
Area,square inches,sq mils,1000000.0,0,,
Area,square inches,sq yards,0.0007716,0,,
Area,square kilometers,acres,247.1,0,,
Area,square kilometers,sq cm,10000000000.0,0,,
Area,square kilometers,sq ft,10760000.0,0,,
Area,square kilometers,sq in.,1550000000.0,0,,
Area,square kilometers,sq meters,1000000.0,0,,
Area,square kilometers,sq miles,0.3861,0,,
Area,square kilometers,sq yards,1196000.0,0,,
Area,square meters,acres,0.0002471,0,,
Area,square meters,sq cm,10000.0,0,,
Area,square meters,sq cm,10000.0,0,,
Area,square meters,sq in.,1550.0,0,,
Area,square meters,sq miles,0.000000386,0,,
Area,square meters,sq millimeters,1000000.0,0,,
Area,square meters,sq yards,1.196,0,,
Area,square miles,acres,640.0,0,,
Area,square miles,sq ft,27880000.0,0,,
Area,square miles,sq km,2.59,0,,
Area,square miles,sq meters,2590000.0,0,,
Area,square miles,sq yards,3098000.0,0,,
Area,square millimeters,circular mils,1973.0,0,,
Area,square millimeters,sq cm,0.01,0,,
Area,square millimeters,sq ft,0.00001076,0,,
Area,square millimeters,sq in.,0.00155,0,,
Area,square mils,circular mils,1.273,0,,
Area,square mils,sq cm,0.000006452,0,,
Area,square mils,sq in.,0.000001,0,,
Area,square yards,acres,0.0002066,0,,
Area,square yards,sq cm,8361.0,0,,
Area,square yards,sq ft,9.0,0,,
Area,square yards,sq in.,1296.0,0,,
Area,square yards,sq meters,0.8361,0,,
Area,square yards,sq miles,0.0000003228,0,,
Area,square yards,sq millimeters,836100.0,0,,
Temperature,temperature (C) + 273,absolute temperature (K),1.0,0,,
Temperature,temperature (C) + 17.78,temperature (F),1.8,0,,
Temperature,temperature (F) + 460,absolute temperature (R),1.0,0,,
Temperature,temperature (F) - 32,temperature (C),0.555555555555556,0,,
Mass,tons (long),kilograms,1016.0,0,,
Mass,tons (long),pounds,2240.0,0,,
Mass,tons (long),tons (short),1.12,0,,
Mass,tons (metric),kilograms,1000.0,0,,
Mass,tons (metric),pounds,2205.0,0,,
Mass,tons (short),kilograms,907.1848,0,,
Mass,tons (short),ounces,32000.0,0,,
Mass,tons (short),ounces (troy),29166.66,0,,
Mass,tons (short),pounds,2000.0,0,,
Mass,tons (short),pounds (troy),2430.56,0,,
Mass,tons (short),tons (long),0.89287,0,,
Mass,tons (short),tons (metric),0.9078,0,,
Pressure,tons (short)/sq ft,kg/sq meter,9765.0,0,,
Pressure,tons (short)/sq ft,pounds/sq in.,2000.0,0,,
Flow Rate,tons of water/24 hr,pounds of water/hr,83.333,0,,
Flow Rate,tons of water/24 hrs,gallons per minute,0.16643,0,,
Flow Rate,tons of water/24 hrs,cubic feet per hour,1.3349,0,,
Electric Potential,volt/inch,volt/cm,0.3937,0,,
Electric Potential,volt (absolute),statvolts,0.003336,0,,
Power,watts,Btu/hr,3.4129,0,,
Power,watts,Btu/min,0.05688,0,,
Power,watts,ergs/sec,107.0,0,,
Power,watts,ft-lb/min,44.27,0,,
Power,watts,ft-lb/sec,0.7378,0,,
Power,watts,horsepower,0.001341,0,,
Power,watts,horsepower (metric),0.00136,0,,
Power,watts,kg-calories/min,0.01433,0,,
Power,watts,kilowatts,0.001,0,,
Power,watts (absolute),Btu (mean)/min,0.056884,0,,
Power,watts (absolute),joules/sec,1.0,0,,
Energy,watt-hours,Btu,3.413,0,,
Energy,watt-hours,ergs,36000000000.0,0,,
Energy,watt-hours,foot-pounds,2656.0,0,,
Energy,watt-hours,gram-calories,859.85,0,,
Energy,watt-hours,horsepower-hr,0.001341,0,,
Energy,watt-hours,kilogram-calories,0.8605,0,,
Energy,watt-hours,kilogram-meters,367.2,0,,
Energy,watt-hours,kilowatt-hr,0.001,0,,
Power,watt (International),watt (absolute),1.0002,0,,
Magnetic Flux,webers,maxwells,100000000.0,0,,
Magnetic Flux,webers,kilolines,100000.0,0,,
Magnetic Flux Density,webers/sq in.,gauss,15500000.0,0,,
Magnetic Flux Density,webers/sq in.,lines/sq in.,100000000.0,0,,
Magnetic Flux Density,webers/sq in.,webers/sq cm,0.155,0,,
Magnetic Flux Density,webers/sq in.,webers/sq meter,1550.0,0,,
Magnetic Flux Density,webers/sq meter,gauss,10000.0,0,,
Magnetic Flux Density,webers/sq meter,lines/sq in.,64520.0,0,,
Magnetic Flux Density,webers/sq meter,webers/sq cm,0.0001,0,,
Magnetic Flux Density,webers/sq meter,webers/sq in.,0.0006452,0,,
Length,yards,centimeters,91.44,0,,
Length,yards,kilometers,0.0009144,0,,
Length,yards,meters,0.9144,0,,
Length,yards,miles (nautical),0.0004934,0,,
Length,yards,miles (statute),0.0005682,0,,
Length,yards,millimeters,914.4,0,,